V1,V2,V3,V4,V5,V6,V7,V8,V9
393273.6705613746,604118.166824864,544466.4890162417,751031.1231123628,471380.4205691791,426840.4811112187,718020.693132009,492646.6342343269,521064.86296517745
970624.3876156359,1490993.6738192106,1343774.0876277897,1853579.296635096,1163394.4669348667,1053468.9060041613,1772107.3261459258,1215881.4240135392,1286018.2606616903
1094260.1111649734,1680919.5386095727,1514943.7769459323,2089694.4044779402,1311586.6748038027,1187657.5679443853,1997844.8458021586,1370758.80684509,1449830.443962888
1224177.39865245,1880484.5306008402,1694805.3502065896,2337789.2500639698,1467305.152464003,1328663.3280355632,2235034.6811867,1533502.8560679709,1621961.7928148278
1292917.15458582,1986081.3602801168,1789973.6392629568,2469067.054639082,1549698.1632078346,1403270.4124597951,2360542.700696785,1619612.684170159,1713039.339829137
1556305.8844204445,2390673.9827495306,2154618.688935183,2972048.853540876,1865395.9974527594,1689139.6239703773,2841416.20035396,1949553.6380934517,2062012.1366596706
1656871.7632160948,2545156.576381496,2293847.1043799575,3164099.6486270833,1985935.1119163234,1798289.0715544226,3025025.752269331,2075530.789645135,2195256.341198696
1739078.3359438528,2671448.2069222857,2407663.1458861236,3321107.7070905645,2084471.805970791,1887512.8824755265,3175133.7834493965,2178511.9434818933,2304179.4565269155
2711216.592432714,4164748.1523926924,3753524.3793101325,5177547.521964093,3249675.4009119147,2942623.7111699744,4949974.248858826,3396285.7250186875,3592196.795841591
2764762.98715832,4247023.866188533,3827666.352003778,5279838.967435666,3313862.556832905,3000741.7194365594,5047771.48872053,3463366.8527162876,3663150.235489223
